name,family,params,annual_return,annual_vol,sharpe,max_drawdown,min_rolling_1y_ann,total_return,annual_turnover,avg_abs_position,min_any_ge_1y_ann,worst_start,worst_end,worst_days
ma_cross_10_40|vw=40|tv=0.1|mx=1.0|overlay_trail_20_0.05,ma_cross_overlay,"{""fast"": 10, ""slow"": 40, ""vol_window"": 40, ""target_vol"": 0.1, ""max_exposure"": 1.0, ""overlay"": ""trail_return"", ""lookback"": 20, ""threshold"": 0.05}",0.007107380086345039,0.04184986013608333,0.16983043821972038,-0.1254196941231338,-0.07501631500234385,0.15794556450983754,4.330219857069863,0.04237889041092961,-0.07501631500234385,2015-11-25,2016-12-05,252
boll_trend_40_0.8|vw=20|tv=0.1|mx=1.5|overlay_trail_20_0.05,bollinger_trend_overlay,"{""period"": 40, ""threshold"": 0.05, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 1.5, ""overlay"": ""trail_return"", ""lookback"": 20}",0.008112080360673568,0.039606772323621274,0.20481548696750443,-0.17321715339692212,-0.07519581347498405,0.18210167121102416,4.448693572300662,0.042787346019961474,-0.07519581347498405,2011-08-02,2012-08-15,252
boll_trend_40_0.5|vw=20|tv=0.1|mx=1.5|overlay_trail_40_0.05,bollinger_trend_overlay,"{""period"": 40, ""threshold"": 0.05, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 1.5, ""overlay"": ""trail_return"", ""lookback"": 40}",0.016947504226238586,0.04981176624539533,0.3402309434832626,-0.14299652832123366,-0.07563387590157844,0.4162046323732669,7.287656877028835,0.09217153135903114,-0.07563387590157844,2006-02-08,2007-02-16,252
boll_trend_40_0.5|vw=20|tv=0.1|mx=3.0|overlay_trail_40_0.05,bollinger_trend_overlay,"{""period"": 40, ""threshold"": 0.05, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 3.0, ""overlay"": ""trail_return"", ""lookback"": 40}",0.01725088941889541,0.050673953674647144,0.3404291192602613,-0.13917376563963302,-0.07625780381856151,0.42497873061535474,7.733660029181224,0.09915586522072084,-0.07625780381856151,2011-08-02,2012-08-15,252
boll_trend_40_0.5|vw=20|tv=0.1|mx=2.0|overlay_trail_40_0.05,bollinger_trend_overlay,"{""period"": 40, ""threshold"": 0.05, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 2.0, ""overlay"": ""trail_return"", ""lookback"": 40}",0.016059334514659795,0.050699404110733495,0.31675588296036594,-0.1391737656396329,-0.0765219119814815,0.39081280567533194,7.549829060447156,0.0981730168148989,-0.0765219119814815,2011-08-02,2012-08-15,252
boll_trend_40_0.8|vw=20|tv=0.1|mx=1.5|overlay_trail_180_0.05,bollinger_trend_overlay,"{""period"": 40, ""threshold"": 0.05, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 1.5, ""overlay"": ""trail_return"", ""lookback"": 180}",0.028170176469846764,0.06302378511405667,0.44697690592315376,-0.1698439963590027,-0.066321701897047,0.7775513381969421,13.109205348436898,0.17830856715346802,-0.07733846493649688,2025-01-07,2026-02-02,261
ma_cross_10_40|vw=40|tv=0.15|mx=3.0|overlay_trail_20_0.05,ma_cross_overlay,"{""fast"": 10, ""slow"": 40, ""vol_window"": 40, ""target_vol"": 0.15, ""max_exposure"": 3.0, ""overlay"": ""trail_return"", ""lookback"": 20, ""threshold"": 0.05}",0.05563566431972444,0.09059275790534309,0.6141292704418605,-0.12429241619530051,-0.07873911604365813,2.0682463027640448,15.7373822735984,0.17976837588832892,-0.08908202850984226,2018-04-02,2019-05-06,263
ma_cross_20_40|vw=20|tv=0.1|mx=2.0|overlay_trail_20_0.02,ma_cross_overlay,"{""fast"": 20, ""slow"": 40, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 2.0, ""overlay"": ""trail_return"", ""lookback"": 20, ""threshold"": 0.02}",0.05182908725814528,0.06753745875001875,0.7674124584696621,-0.10032353865815402,-0.08315037862449959,1.8471115971273449,16.39056648991048,0.20917385273938477,-0.09256829931090305,2024-10-15,2025-10-28,253
ma_cross_20_40|vw=20|tv=0.1|mx=3.0|overlay_trail_20_0.02,ma_cross_overlay,"{""fast"": 20, ""slow"": 40, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 3.0, ""overlay"": ""trail_return"", ""lookback"": 20, ""threshold"": 0.02}",0.0516969003242429,0.0675436792808924,0.7653847239984092,-0.10032353865815447,-0.08315037862449959,1.8397119043939418,16.747750187988252,0.20936060866765918,-0.09256829931090305,2024-10-15,2025-10-28,253
ma_cross_20_40|vw=20|tv=0.1|mx=1.5|overlay_trail_20_0.02,ma_cross_overlay,"{""fast"": 20, ""slow"": 40, ""vol_window"": 20, ""target_vol"": 0.1, ""max_exposure"": 1.5, ""overlay"": ""trail_return"", ""lookback"": 20, ""threshold"": 0.02}",0.0532079341881071,0.06703429936547291,0.7937419305006221,-0.1014927033966927,-0.0843418605559666,1.925400121632948,16.023136552222645,0.20577747384836348,-0.09374288426471611,2024-10-15,2025-10-28,253
